id,status,name,company_id,company_name,employment_type,additional_apply_type,due_time,country,location,full_location,reward_total,reward_recommender,reward_recommendee,category_parent,category_children,url
363151,active,Brand Marketer,179,버킷플레이스(오늘의집),regular,,,한국,서울,"서울 서초구 서초대로74길 4, 21층, 25층, 27층","￦1,000,000","￦500,000","￦500,000",마케팅·광고,브랜드 마케터,https://www.wanted.co.kr/wd/363151?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
234466,active,백엔드 개발자,49984,스튜디오키코,regular,,,한국,서울,"서울 성동구 왕십리로 137, 119동 공공청사 1층","￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;파이썬 개발자;소프트웨어 엔지니어,https://www.wanted.co.kr/wd/234466?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374696,active,글로벌 해외 마케터 (헤드급),30998,팝성형외과의원,regular,foreigner,,한국,서울,강남구 논현로 837,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,"CMO,Chief Marketing Officer;글로벌 마케팅;마케팅 전략 기획자",https://www.wanted.co.kr/wd/374696?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374698,active,안면 리프팅 성형 마케터 (헤드급),30998,팝성형외과의원,regular,,,한국,서울,강남구 논현로 837,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,"퍼포먼스 마케터;CMO,Chief Marketing Officer;마케팅 전략 기획자",https://www.wanted.co.kr/wd/374698?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374699,active,Senior Software Engineer (웹 개발 / 책임급),3275,비누랩스,regular,,2026-08-31,한국,서울,"서울 마포구 양화로 45, 21층","￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;웹 개발자;Node.js 개발자,https://www.wanted.co.kr/wd/374699?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374682,active,프론트엔드 개발자 (육아휴직대체),24347,트루밸류,contract,,,한국,대전,대전광역시 서구 신갈마로127번길 9,"￦200,000","￦100,000","￦100,000",개발,서버 개발자;프론트엔드 개발자;크로스플랫폼 앱 개발자,https://www.wanted.co.kr/wd/374682?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374701,active,백엔드 개발자 (육아휴직대체),24347,트루밸류,contract,,,한국,대전,대전광역시 서구 신갈마로127번길 9,"￦200,000","￦100,000","￦100,000",개발,서버 개발자;프론트엔드 개발자;크로스플랫폼 앱 개발자,https://www.wanted.co.kr/wd/374701?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374702,active,풀스택 개발자 (육아휴직대체),24347,트루밸류,contract,,,한국,대전,대전광역시 서구 신갈마로127번길 9,"￦200,000","￦100,000","￦100,000",개발,서버 개발자;프론트엔드 개발자;크로스플랫폼 앱 개발자,https://www.wanted.co.kr/wd/374702?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374316,active,게임개발본부 퍼즐팀 게임 UI 디자이너,74,넵튠(Neptune),regular,,,한국,서울,"서울 강남구 언주로 428, 엔데버타워역삼 9F~15F","￦1,000,000","￦500,000","￦500,000",디자인,"그래픽 디자이너;UI,GUI 디자이너;UX 디자이너",https://www.wanted.co.kr/wd/374316?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
307483,active,MLOps Engineer (전문연구요원 가능),341,소크라에이아이,regular,,,한국,서울,"서울 강남구 테헤란로 424, 2, 19층","￦1,000,000","￦500,000","￦500,000",개발,머신러닝 엔지니어,https://www.wanted.co.kr/wd/307483?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
